Style,Category,ABV_min,ABV_max,ABV_avg,IBU_min,IBU_max,IBU_avg,SRM_min,SRM_max,SRM_avg,Glassware,Description
German Bock,Bock,6.3,7.6,6.95,20,30,25.0,20,30,25.0,Tulip,"Bock is a bottom fermenting lager that generally takes extra months of lagering (cold storage) to smooth out such a strong brew. Bock beer in general is stronger than your typical lager, more of a robust malt character with a dark amber to brown hue. Hop bitterness can be assertive enough to balance, though must not get in the way of the malt flavor, most are only lightly hopped."
German Doppelbock,Bock,6.6,7.9,7.25,17,27,22.0,12,30,21.0,Tulip,"“Doppel” meaning “double,” this style is a bigger and stronger version of the lower-gravity German-Style Bock beers. Originally made by monks in Munich, the Doppelbock beer style is very food-friendly and rich in melanoidins reminiscent of toasted bread. Color is copper to dark brown. Malty sweetness is dominant but should not be cloying. Malt character is more reminiscent of fresh and lightly toasted Munich-style malt, more so than caramel or toffee malt. Doppelbocks are full-bodied, and alcoholic strength is on the higher end."
German Eisbock,Bock,7.0,14.0,10.5,25,35,30.0,12,30,21.0,Snifter,"Eisbock is an extremely strong beer with a typical alcohol content well beyond 7 percent ABV. This beer undergoes a freezing process called “freeze distilling” that separates water from the other components (alcohol and sugars) to concentrate these. Because water has a lower freezing point than ethanol, the water freezes, leaving the alcohol liquid. When the water ice is removed, the remaining beer is stronger than before. Eisbock can range from near black to as light as tawny red. Hop bitterness and flavor are mostly cast aside with a big alcohol presence replacing it, which can range from sweet to spicy, and fruity to fusel. Look for a heavy or almost syrupy body with tons of malty flavor."
German Maibock,Bock,6.3,8.1,7.2,20,38,29.0,4,9,6.5,Goblet,"Also called “Heller Bock” (meaning “Pale Bock”), the German-Style Maibock is paler in color and more hop-centric than traditional Bock beers. A lightly toasted and/or bready malt character is often evident."
German Weizenbock,Bock,7.0,9.5,8.25,15,35,25.0,4,30,17.0,Tulip,"The German-style Weizenbock is a wheat version of a German-Style Bock, or a bigger and beefier Dunkelweizen. Malt mellanoidins and Weizen Ale yeast are the star ingredients. If served with yeast, the appearance may appropriately be very cloudy. With flavors of bready malt and dark fruits like plum, raisin, and grape, this style is low on bitterness and high on carbonation. Balanced clove-like phenols and fruity, banana-like esters produce a well-rounded aroma."
American Brown Ale,Brown Ale,4.2,8.8,6.5,25,45,35.0,12,30,21.0,Pint Glass,"Roasted malt, caramel-like and chocolate-like characters should be of medium intensity in both flavor and aroma for the American brown ale. American-style brown ales have evident low to medium hop flavor and aroma and medium to high hop bitterness. The history of this style dates back to U.S. homebrewers who were inspired by English-style brown ales and porters. It sits in flavor between those British styles and is more bitter than both."
English Brown Ale,Brown Ale,4.2,7.0,5.6,15,25,20.0,12,22,17.0,Pint Glass,"Spawned from the Mild Ale tradition, English Brown Ales tend to be maltier and sweeter on the palate, with a somewhat fuller body. Color can range from a medium amber/reddish hue to dark brown. Some versions will lean towards fruity esters, while others tend to be drier with nutty characteristics. Roasty malt notes give this style complexity, but almost every example has both a minimal amount of hop aroma and low degree of hop bitterness. As with most historical English styles, alcohol levels are kept low to promote drinkability."
English Dark Mild Ale,Brown Ale,3.0,6.0,4.5,20,30,25.0,12,22,17.0,Pint Glass,"The quintessential British session beer, like its name suggests, a Mild is known for its low level of hop character. Similarly, the alcohol content is traditionally very low, too. Colors can range from medium amber to rich brown. Low carbonation with a nearly still, slightly bubbly head and little to no hop aroma. Grainy to toasty malts might be present, but expect some body from the high dextrins produced during brewing. Traditionally Dark Milds were a draft beer made popular in London and the Midlands of England."
German Altbier,Brown Ale,4.0,7.0,5.5,25,50,37.5,11,19,15.0,Stange,"A Düsseldorf specialty, an Altbier is a German-style Brown Ale. The word altî literally translates to ""old"" in German, and traditionally Altbiers are conditioned for a longer than normal periods of time. Other sources note that ""alt"" is derived from the Latin word ""altus,"" which means ""high"" and refers to the rising yeast. Take your pick, but the extended conditioning mellows out this ale's fruitiness and produces an exceptionally smooth, clean, and delicate brew. Its color ranges from amber to dark brown, carbonation is moderate, and while known to express the slightly spicy, herbal character of Noble hops, the key word here is balance. A stronger version brewed less frequently, ""Sticke Alt"" is a maltier and hoppier take on the Altbier."
American Black Ale,Dark Ale,6.3,7.6,6.95,50,70,60.0,30,40,35.0,Tulip,"The American black ale is characterized by the perception of caramel malt and dark roasted malt flavor and aroma. Hop bitterness is perceived to be medium-high to high. Hop flavor and aroma are medium-high. Fruity, citrus, piney, floral and herbal character from hops of all origins may contribute to the overall experience. This beer is often called a black IPA or Cascadian dark ale."
Belgian Dark Ale,Dark Ale,4.5,7.5,6.0,15,25,20.0,15,30,22.5,Goblet,"Belgian Darks offer a massive range of characters. The colors play within the amber to light brown and even deep garnet range of hues, topped with thick, rocky heads of great retention. Aromas can offer anything from traces of yeast, spices, malt, floral attributes, and on occasion, slightly intoxicating notes. Flavors run the gamut from dry and spiced, to sweet and malty. Most examples of Belgian Dark Ale have a low level of bitterness."
Belgian Dubble,Dark Ale,6.0,9.0,7.5,15,30,22.5,15,30,22.5,Goblet,"The Belgian Dubbel is a rich, malty beer with some spicy or phenolic and mild alcoholic characteristics. Not as much fruitiness as a Belgian Strong Dark Ale, but some dark fruit aromas and flavors may be present. Medium amber to deep brown, this style is recognizable for its mild hop bitterness with no lingering hop flavors. A Dubbel is also likely show signs of a sweeter caramel flavor from the use of crystal malt or dark candi sugar. Look for a medium to full body with an expressive carbonation and some dryness in the finish. Traditionally a Trappist ale, many breweries now make similar ""Abbey Dubbels"" to try and emulate the monastic originals (Trappist Westvleteren 8, Westmalle Trappist Dubbel, and Chimay Première)."
German Roggenbier,Dark Ale,4.5,6.0,5.25,10,20,15.0,15,30,22.5,Pint Glass,"Roggenbier is akin to a Dunkelweizen made with rye rather than wheat, but with a greater body and light finishing hops. Expect a very pronounced spiciness and sour-like rye character, malty flavor, and a clean hop character. Often unfiltered and bottle-conditioned, Roggenbiers tend to be rather turbid and foamy."
Scottish Ale,Dark Ale,2.8,5.3,4.05,9,25,17.0,6,15,10.5,Tulip,"Scottish-Style Ales vary depending on strength and flavor, but in general retain a malt-forward character with some degree of caramel-like malt flavors and a soft and chewy mouthfeel. Some examples feature a light smoked peat flavor. Hops do not play a huge role in this style. The numbers commonly associated with brands of this style (60/70/80 and others) reflect the Scottish tradition of listing the cost, in shillings, of a hogshead (large cask) of beer. Overly smoked versions would be considered specialty examples. Smoke or peat should be restrained."
Winter Warmer,Dark Ale,5.5,8.0,6.75,35,50,42.5,15,30,22.5,Goblet,"These malty, sweet offerings tend to be a favorite winter seasonal. A big malt presence, both in flavor and body, leads the way. The color of this style ranges from brownish reds to nearly pitch black. Hop bitterness is generally low and balanced, but hop character can be pronounced in the aroma. Alcohol warmth is not uncommon. Many English versions contain no spices, though some brewers of spiced seasonal ales will slap ""Winter Warmer"" on the label. Those that are spiced, tend to follow the ""wassail"" tradition of blending robust ales with some combination of cinnamon, ginger, nutmeg, and the like before hops became the chief ""spice"" in beer. American varieties many have a larger presence of hops both in bitterness and flavor."
American Amber / Red Lager,Dark Lager,4.8,5.4,5.1,18,30,24.0,15,30,22.5,Pilsener Glass,"A widely available, sessionable craft beer style that showcases both malt and hops. Amber lagers are a medium-bodied lager with a toasty or caramel-like malt character. Hop bitterness can range from very low to medium-high. Brewers may use decoction mash and dry-hopping to achieve advanced flavors."
European Dark Lager,Dark Lager,4.0,7.0,5.5,15,40,27.5,15,30,22.5,Pint Glass,"This style encompasses a wide range of dark beers including India Pale Lagers, Czech lagers, and lagers brewed with adjuncts or non-traditional ingredients. In time these entries will be moved into more accurate categories."
German Marzen / Oktoberfest,Dark Lager,5.0,6.5,5.75,18,25,21.5,15,30,22.5,Mug,"Before refrigeration, it was nearly impossible to brew beer in the summer due to the hot weather and bacterial infections. Brewing ended with the coming of spring, and began again in the fall. Thus, most were brewed in March (Märzen). These beers were kept in cold storage through the spring and summer months, or brewed at a higher gravity, so theyí'd last longer. Märzenbier is full-bodied, rich, and toasty, with a moderately high alcohol content. Its color can be anywhere from pale gold to medium amber, but is typically some shade of copper. Like other dark lagers, the aroma is driven by malt, not hops. Best enjoyed by the half liter in a Bavarian beer garden."
German Rauchbier,Dark Lager,4.8,6.0,5.4,20,30,25.0,15,30,22.5,Pint Glass,"Rauchbier is an old German beer style with origins in the 1500s from the district of Franconia and the town of Bamberg. Typically dark to amber in color, it shares similarities with Oktoberfestbier. Green malts are dried over an open fire of beechwood, imparting a unique smokiness (""rauch"" is German for smoke) to the final beverage. Expect toasty-rich malt in aroma and flavor, restrained bitterness, low to high smoke flavor, clean fermentation profile, and an attenuated finish."
German Schwarzbier,Dark Lager,3.8,5.2,4.5,20,30,25.0,15,30,22.5,Pilsener Glass,"Schwarzbier (""shvahrts-beer""), is simply German for black beer. It doesn'ít mean that it'ís necessarily heavy or light in body, although most examples tend to be lighter. Unlike Porters or Stouts and other dark beers, they are not overly bitter with the burnt and heavily roasted malt characteristics that these styles tend to depend on. Instead, hops are used to achieve a good portion of the bitterness. Smooth on the palate, soul lifting, and refreshing with a dry finish, Schwartzbiers make a great alternative for the winter months, especially when you're looking for a lighter beer, but one with depth of color and a bittersweet taste that might bring to mind coffee, cocoa, or licorice."
Munich Dunkel Lager,Dark Lager,4.0,6.0,5.0,15,25,20.0,15,30,22.5,Pilsener Glass,"An old friend of Bavaria, Munich Dunkels are smooth, rich, and complex without being overly heady or heavy. They boast brilliant ruby hues from the large amounts of Munich malts used, and these malts also create a fuller-bodied beer. In addition, the decoction brewing process lends much depth and richness of flavor. Little to no hop aroma is detectable; the nose is dominated by malty notes of bread, nuts, and perhaps a touch of chocolate. Hop varieties used tend to be German Noble varieties like Tettnanger and Hallertau. Bitterness is often moderate, with just enough to balance out any sweetness."
