"review_count","beer_style"
524175,"American IPA"
519752,"American Imperial IPA"
442952,"American Imperial Stout"
196061,"American Wild Ale"
195276,"Russian Imperial Stout"
162252,"Belgian Saison"
116799,"New England IPA"
93240,"American Porter"
78428,"American Strong Ale"
76597,"Belgian Strong Dark Ale"
72928,"English Sweet / Milk Stout"
62735,"American Barleywine"
59527,"Belgian Strong Pale Ale"
53911,"American Brown Ale"
52449,"American Black Ale"
50625,"American Stout"
47956,"American Amber / Red Ale"
43194,"English Oatmeal Stout"
42977,"Scotch Ale / Wee Heavy"
42522,"Fruit and Field Beer"
40251,"German Hefeweizen"
39472,"English Old Ale"
38433,"Belgian Fruit Lambic"
38054,"Pumpkin Beer"
37569,"American Imperial Porter"
