brewery_name,street,city,locality,zip_code,full_address
(405) Brewing Co,1716 Topeka St,Norman,OK,73069-8224,"1716 Topeka St, Norman, OK 73069-8224"
(512) Brewing Co,407 Radam Ln Ste F200,Austin,TX,78745-1197,"407 Radam Ln Ste F200, Austin, TX 78745-1197"
1. Zichovecka S.r.o.,Zichovec 46,Klobuky,Ceska republika,27374,"Zichovec 46, Klobuky, Ceska republika 27374"
10 Barrel Brewing Co,1135 NW Galveston Ave Ste B,Bend,OR,97703-2465,"1135 NW Galveston Ave Ste B, Bend, OR 97703-2465"
10 Barrel Brewing Co,1501 E St,San Diego,CA,92101-6618,"1501 E St, San Diego, CA 92101-6618"
10 Barrel Brewing Co,1411 NW Flanders St,Portland,OR,97209-2620,"1411 NW Flanders St, Portland, OR 97209-2620"
10 Barrel Brewing Co,830 W Bannock St,Boise,ID,83702-5857,"830 W Bannock St, Boise, ID 83702-5857"
10 Barrel Brewing Co,62970 18th St,Bend,OR,97701-9847,"62970 18th St, Bend, OR 97701-9847"
10 Barrel Brewing Co - Bend Pub,62950 NE 18th St,Bend,OR,97701,"62950 NE 18th St, Bend, OR 97701"
10 Barrel Brewing Co - Denver,2620 Walnut St,Denver,CO,80205-2231,"2620 Walnut St, Denver, CO 80205-2231"
10 Torr Distilling and Brewing,490 Mill St,Reno,NV,89502,"490 Mill St, Reno, NV 89502"
10-56 Brewing Company,2120 US-35,Knox,IN,46534,"2120 US-35, Knox, IN 46534"
101 Brewery,294793 US Highway 101,Quilcene,WA,98376-9000,"294793 US Highway 101, Quilcene, WA 98376-9000"
105 West Brewing Co,1043 Park St,Castle Rock,CO,80109-1585,"1043 Park St, Castle Rock, CO 80109-1585"
10K Brewing,2005 2nd Ave,Anoka,MN,55303-2243,"2005 2nd Ave, Anoka, MN 55303-2243"
10th District Brewing Company,491 Washington St,Abington,MA,02351-2419,"491 Washington St, Abington, MA 02351-2419"
11 Below Brewing Company,6820 Bourgeois Rd,Houston,TX,77066-3107,"6820 Bourgeois Rd, Houston, TX 77066-3107"
"111 Brewing, LLC",111 N Fannin Ave,Denison,TX,75020-3116,"111 N Fannin Ave, Denison, TX 75020-3116"
