brewery_name,address,phone,latitude,longitude
Coachella Valley Brewing Co,"30640 Gunther St, Thousand Palms, CA 92276, USA",(760) 343-5973,33.8265103,-116.4014067
Beef 'O' Brady's,"145 Oyster Creek Dr, Lake Jackson, TX 77566, USA",(979) 285-9580,29.0453394,-95.4520229
Broadway Wine Merchant,"824 N Broadway Ave, Oklahoma City, OK 73102, USA",(405) 231-0031,35.4758631,-97.5139913
Teddy's Tavern,"17 N 2nd St, Stroudsburg, PA 18360, USA",(570) 424-6578,40.9909111,-75.1886363
The Other End,"600 Harbor Blvd, Destin, FL 32541, USA",(850) 837-7245,30.3919251,-86.4958325
Ten Bells Tavern,"232 W 7th St, Dallas, TX 75208, USA",(214) 943-2677,32.748772,-96.826045
Angie's State Line Liquor Store,"90 Enfield St, Enfield, CT 06082, USA",(860) 745-5183,42.022531,-72.5868159
Redneck Gourmet,"11 N Court Square, Newnan, GA 30263, USA",(770) 251-0092,33.3753889,-84.7996513
Mahoney's Pub & Grille,"551 N Ogden Ave, Chicago, IL 60642, USA",(312) 733-2121,41.892361,-87.657682
Amity Ales Brewpub and Eatery,"192 Broadway, Amityville, NY 11701, USA",(631) 464-4646,40.6788049,-73.4177599
The Cr̻pe Place,"3103 S Lamar Blvd, Austin, TX 78704, USA",(512) 387-2442,30.2416082,-97.7846744
McCray's Tavern,"4500 W Village Pl #2009, Smyrna, GA 30080, USA",(678) 370-9112,33.8427065,-84.4904881
Express Stop,"5301 Manor Rd, Austin, TX 78723, USA",(512) 926-2763,30.2999979,-97.6854624
Springdale Barrel Room,"102 Clinton St #6748, Framingham, MA 01702, USA",(774) 777-5430,42.279681,-71.4099411
Modist Brewing Co.,"505 N 3rd St, Minneapolis, MN 55401, USA",(612) 454-0258,44.9851278,-93.2763917
The Wandering Tortoise,"2417 E Indian School Rd, Phoenix, AZ 85016, USA",(602) 441-3490,33.4945069,-112.0291181
The Laser Wolf,"901 Progresso Dr, Fort Lauderdale, FL 33304, USA",(954) 667-9373,26.1346788,-80.1412338
The Kitchen,"1811 E Cesar Chavez St, Austin, TX 78702, USA",(512) 820-9885,30.2569908,-97.7249709
The Office Beer Bar & Grill,"619 Bloomfield Ave, Montclair, NJ 07042, USA",(973) 783-2929,40.8163995,-74.2204544
Stop Time,"Av. Brasil, 6505 - Ramos, Rio de Janeiro - RJ, 21040-360, Brazil",(21) 3976-0082,-22.8561514,-43.2482724
All In Brewing,"189 Elliott Rd, Banyo QLD 4014, Australia",0478 519 414,-27.3668382,153.0799698
Momma Goldberg's Deli,"3696b Airport Blvd, Mobile, AL 36608, USA",(251) 219-7086,30.6762798,-88.1349706
Ferguson's Bottles & Taps,"954 Golf House Rd W, Whitsett, NC 27377, USA",(336) 447-4887,36.063015,-79.602593
Wedge at Foundation,"5 Foundy St, Asheville, NC 28801, USA",(828) 253-7152,35.5775205,-82.5660508
Victory Art Brew,"Ulitsa Tolmacheva, 49, Ivanteyevka, Moskovskaya oblast', Russia, 141282",8 (496) 506-14-93,55.9607701,37.9188635
8one8 Brewing (818),"8953 De Soto Ave, Canoga Park, CA 91304, USA",(818) 835-2286,34.2336111,-118.5888889
Brew Urban Cafe,"537 NW 1st Ave, Fort Lauderdale, FL 33311, USA",(954) 357-3934,26.1292875,-80.1448737
Timor Bodega,"1818 2nd St NW, Washington, DC 20001, USA",(202) 210-1986,38.914679,-77.014432
House Wine,"408 Josephine St, Austin, TX 78704, USA",(512) 322-5210,30.2619083,-97.7588972
Bar Louie,"15900 La Cantera Pkwy Suite 22100, San Antonio, TX 78256, USA",(726) 900-7500,29.5931253,-98.6110164
Clyde's on Main,"122 W Main St, Chattanooga, TN 37408, USA",(423) 362-8335,35.0365881,-85.3091966
Total Wine & More,"5601 Brodie Ln Ste 800, Sunset Valley, TX 78745, USA",(512) 892-8763,30.225435,-97.820983
Bigelow Brewing Company,"473 Bigelow Hill Rd, Skowhegan, ME 04976, USA",(207) 431-7265,44.7208391,-69.7315507
Lakeside Bar & Grill,"2900 N Quinlan Park Rd, Austin, TX 78732, USA",(512) 266-2330,30.3701676,-97.8930391
Tractor Brewing Co. - Wells Park,"1800 4th St NW, Albuquerque, NM 87102, USA",(505) 243-6752,35.102281,-106.6479153
Kowalski's Market & Wine Shop,"440 Water St, Excelsior, MN 55331, USA",(952) 229-8300,44.9006118,-93.5692626
Twin Liquors,"1717 S Pleasant Valley Rd #245, Austin, TX 78741, USA",(512) 389-1413,30.2348164,-97.7203818
Brix City Brewing,"4 Alsan Way, Little Ferry, NJ 07643, USA",(201) 440-0865,40.8563995,-74.0431375
Navarro General Store & Deli,"231 Wendling St, Navarro, CA 95463, USA",(707) 895-9445,39.1527601,-123.543565
Marty's Market,"Meshoppen Township, PA 18630, USA",(570) 833-5494,41.6137554,-76.036299
Cold Beer & Cheeseburgers,"4222 N Scottsdale Rd, Scottsdale, AZ 85251, USA",(480) 941-2747,33.4975336,-111.9264202
Yellowhammer Brewing,"2600 Clinton Ave W, Huntsville, AL 35805, USA",(256) 489-3510,34.7217469,-86.6054124
The Lone Pint Brewery,"507 Commerce St, Magnolia, TX 77355, USA",(713) 304-5069,30.2089767,-95.7512665
Raging River Saloon,"33723 Redmond-Fall City Rd SE, Fall City, WA 98024, USA",(425) 222-6669,47.5675141,-121.8892395
Wine World Beer & Spirits,"1948 S IH 35 Frontage Rd, Austin, TX 78704, USA",(512) 440-7778,30.238142,-97.739354
Cave Spring Tap House,"Cave Spring, VA 24018, USA",(540) 795-5323,37.2272873,-80.0111694
Sid's Discount Liquor,"8348 Lyndale Ave S, Bloomington, MN 55420, USA",(952) 884-6592,44.8518176,-93.2889952
Vicious Fishes Brewery,"219 Fish Dr, Angier, NC 27501, USA",(919) 639-3363,35.5078302,-78.7489493
Old Timer Restaurant,"1803 W 35th St B, Austin, TX 78703, USA",(512) 451-5016,30.307872,-97.753417
Home Brew Stuff,"1031 E Nakoma Dr #101, San Antonio, TX 78216, USA",(210) 650-9070,29.5463348,-98.4793853
