"beer_style","beer_id","avg_rating","review_count"
"American Amber / Red Ale",54522,4.3,2070
"American Amber / Red Ale",1655,4.26,1815
"American Amber / Red Ale",607,4.22,2176
"American Amber / Red Ale",6322,4.22,1840
"American Amber / Red Ale",6301,4.18,1896
"American Amber / Red Lager",1351,4.28,1175
"American Amber / Red Lager",2318,4.23,323
"American Amber / Red Lager",909,4.23,224
"American Amber / Red Lager",2219,4.22,283
"American Amber / Red Lager",148,4.18,1255
"American Barleywine",41300,4.4,2191
"American Barleywine",20931,4.35,2006
"American Barleywine",2671,4.32,5817
"American Barleywine",1891,4.29,2065
"American Barleywine",6533,4.27,1615
"American Black Ale",38470,4.35,4913
"American Black Ale",79286,4.35,4002
"American Black Ale",67046,4.29,1651
"American Black Ale",112938,4.26,1989
"American Black Ale",127483,4.23,1735
"American Blonde Ale",109105,4.34,837
"American Blonde Ale",22193,4.24,1186
"American Blonde Ale",160820,4.22,495
"American Blonde Ale",68008,4.21,459
"American Blonde Ale",59987,4.19,749
"American Brett",96817,4.44,527
"American Brett",88816,4.24,329
"American Brett",92669,4.22,297
"American Brett",102895,4.21,470
"American Brett",88815,4.2,374
"American Brown Ale",33832,4.36,4696
"American Brown Ale",1339,4.32,2941
"American Brown Ale",30764,4.31,2138
"American Brown Ale",1161,4.29,4538
"American Brown Ale",60420,4.19,1529
"American Brut IPA",364202,4.28,11
"American Brut IPA",358642,4.2,11
"American Brut IPA",366774,4.16,18
"American Brut IPA",363015,4.14,11
"American Cream Ale",205179,4.47,199
"American Cream Ale",108008,4.37,518
"American Cream Ale",1963,4.26,1269
"American Cream Ale",23506,4.24,488
"American Cream Ale",169625,4.19,457
"American Dark Wheat Ale",118675,4.38,94
"American Dark Wheat Ale",95054,4.26,108
"American Dark Wheat Ale",133488,4.2,117
"American Dark Wheat Ale",2370,4.19,124
"American Dark Wheat Ale",101936,4.14,133
"American Imperial IPA",7971,4.68,14432
"American Imperial IPA",17112,4.54,12327
"American Imperial IPA",84596,4.49,10135
"American Imperial IPA",2093,4.42,13409
"American Imperial IPA",4083,4.41,9463
"American Imperial Pilsner",75414,4.4,1342
"American Imperial Pilsner",51557,4.39,875
"American Imperial Pilsner",99033,4.33,1351
"American Imperial Pilsner",119960,4.24,1219
"American Imperial Pilsner",60078,4.24,1146
"American Imperial Porter",172420,4.55,1241
"American Imperial Porter",75502,4.51,1188
"American Imperial Porter",48505,4.47,6432
"American Imperial Porter",84140,4.3,1076
"American Imperial Porter",90473,4.29,1426
"American Imperial Stout",57747,4.71,7132
"American Imperial Stout",10672,4.66,12094
"American Imperial Stout",19960,4.65,12761
"American Imperial Stout",11757,4.58,16119
"American Imperial Stout",34420,4.55,6792
"American IPA",29619,4.48,12814
"American IPA",1093,4.4,12653
"American IPA",88,4.35,9177
"American IPA",1904,4.33,8034
"American IPA",30420,4.32,8702
"American Lager",71820,4.34,2389
"American Lager",152542,4.21,781
"American Lager",110546,4.19,607
"American Lager",88429,4.15,521
"American Lager",127725,4.13,571
"American Light Lager",837,4.49,119
"American Light Lager",1320,4.43,116
"American Light Lager",332,4.41,145
"American Light Lager",1503,4.19,279
"American Light Lager",154597,4.17,83
"American Pale Wheat Ale",9478,4.35,4801
"American Pale Wheat Ale",49789,4.34,7565
"American Pale Wheat Ale",96436,4.24,911
"American Pale Wheat Ale",1094,4.22,2915
"American Pale Wheat Ale",65113,4.2,890
"American Porter",61062,4.53,2634
"American Porter",62761,4.53,1964
"American Porter",226,4.37,5568
"American Porter",198,4.34,4949
"American Porter",61,4.3,2729
"American Stout",1118,4.36,3232
"American Stout",197,4.33,3238
"American Stout",283,4.27,2419
"American Stout",1117,4.21,2769
"American Stout",2010,4.21,1873
"American Strong Ale",1056,4.41,5622
"American Strong Ale",8951,4.37,4198
"American Strong Ale",92,4.34,8385
"American Strong Ale",48385,4.25,3164
"American Strong Ale",2264,4.25,3975
"American Wheatwine Ale",84078,4.36,1038
"American Wheatwine Ale",105784,4.34,884
"American Wheatwine Ale",14954,4.23,577
"American Wheatwine Ale",53764,4.22,567
"American Wheatwine Ale",51069,4.2,736
"American Wild Ale",27992,4.61,2615
"American Wild Ale",22227,4.61,6236
"American Wild Ale",45653,4.56,5123
"American Wild Ale",9474,4.51,3555
"American Wild Ale",20518,4.4,2529
"Baltic Porter",79898,4.39,1402
"Baltic Porter",93101,4.38,865
"Baltic Porter",40674,4.35,1241
"Baltic Porter",24071,4.25,1914
"Baltic Porter",88889,4.24,880
"Belgian Blonde Ale",1808,4.38,777
"Belgian Blonde Ale",2137,4.21,958
"Belgian Blonde Ale",620,4.2,631
"Belgian Blonde Ale",36539,4.15,447
"Belgian Blonde Ale",127728,4.12,446
"Belgian Dark Ale",1862,4.23,741
"Belgian Dark Ale",76521,4.2,186
"Belgian Dark Ale",38818,4.19,569
"Belgian Dark Ale",26072,4.16,223
"Belgian Dark Ale",99130,4.15,346
"Belgian Faro",61616,4.27,73
"Belgian Faro",8772,4.22,28
"Belgian Faro",7761,4.22,86
"Belgian Faro",7712,4.21,338
"Belgian Faro",30533,4.17,23
"Belgian Fruit Lambic",5281,4.68,2975
"Belgian Fruit Lambic",3659,4.65,1744
"Belgian Fruit Lambic",8954,4.58,2089
