,beer_style,info_link,image_link
0,American Amber Ale,https://www.craftbeer.com/styles/amber-ale,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/amber-ale.jpg
1,American Amber Lager,https://www.craftbeer.com/styles/american-amber-lager,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/american-amber-lager.jpg
2,American Barley Wine,https://www.craftbeer.com/styles/american-barley-wine,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/american-barley-wine.jpg
3,American Black Ale,https://www.craftbeer.com/styles/american-black-ale,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/american-black-ale.jpg
4,American Brett,https://www.craftbeer.com/styles/american-brett,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/american-brett.jpg
5,American Brown Ale,https://www.craftbeer.com/styles/american-brown-ale,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/american-brown-ale.jpg
6,American Cream Ale,https://www.craftbeer.com/styles/american-cream-ale,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/american-cream-ale.jpg
7,American Imperial Porter,https://www.craftbeer.com/styles/american-imperial-porter,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/american-imperial-porter.jpg
8,American Imperial Red Ale,https://www.craftbeer.com/styles/american-imperial-red-ale,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/american-imperial-red-ale.jpg
9,American Imperial Stout,https://www.craftbeer.com/styles/american-imperial-stout,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/american-imperial-stout.jpg
10,American IPA,https://www.craftbeer.com/styles/american-india-pale-ale,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/american-india-pale-ale.jpg
11,American Lager,https://www.craftbeer.com/styles/american-lager,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/american-lager.jpg
12,American Pale Ale,https://www.craftbeer.com/styles/american-pale-ale,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/american-pale-ale.jpg
13,American Sour,https://www.craftbeer.com/styles/american-sour,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/american-sour.jpg
14,American Stout,https://www.craftbeer.com/styles/american-stout,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/american-stout.jpg
15,American-Style Wheat Wine Ale,https://www.craftbeer.com/styles/american-style-wheat-wine-ale,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/american-style-wheat-wine-ale.jpg
16,American Wheat,https://www.craftbeer.com/styles/american-wheat,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/american-wheat.jpg
17,Baltic-Style Porter,https://www.craftbeer.com/styles/baltic-style-porter,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/baltic-style-porter.jpg
18,Barrel-Aged Beer,https://www.craftbeer.com/styles/barrel-aged-beer,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/barrel-aged-beer.jpg
19,Belgian-Style Blonde Ale,https://www.craftbeer.com/styles/belgian-style-blonde-ale,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/belgian-style-blonde-ale.jpg
20,Belgian-Style Dubbel,https://www.craftbeer.com/styles/belgian-style-dubbel,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/belgian-style-dubbel.jpg
21,Belgian-Style Flanders,https://www.craftbeer.com/styles/belgian-style-flanders,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/belgian-style-flanders.jpg
22,Belgian-Style Fruit Lambic,https://www.craftbeer.com/styles/belgian-style-fruit-lambic,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/belgian-style-fruit-lambic.jpg
23,Belgian-Style Golden Strong Ale,https://www.craftbeer.com/styles/belgian-style-golden-strong-ale,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/belgian-style-golden-strong-ale.jpg
24,Belgian-Style Lambic/Gueuze,https://www.craftbeer.com/styles/belgian-style-lambic-gueuze,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/belgian-style-lambic-gueuze.jpg
25,Belgian-Style Pale Ale,https://www.craftbeer.com/styles/belgian-style-pale-ale,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/belgian-style-pale-ale.jpg
26,Belgian-Style Quadrupel,https://www.craftbeer.com/styles/belgian-style-quadrupel,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/belgian-style-quadrupel.jpg
27,Belgian-Style Saison,https://www.craftbeer.com/styles/belgian-style-saison,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/belgian-style-saison.jpg
28,Belgian-Style Tripel,https://www.craftbeer.com/styles/belgian-style-tripel,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/belgian-style-tripel.jpg
29,Belgian-Style Witbier,https://www.craftbeer.com/styles/belgian-style-wit,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/belgian-style-wit.jpg
30,Berliner-Style Weisse,https://www.craftbeer.com/styles/berliner-style-weisse,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/berliner-style-weisse.jpg
31,French-Style Biere de Garde,https://www.craftbeer.com/styles/biere-de-garde,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/biere-de-garde.jpg
32,Blonde Ale,https://www.craftbeer.com/styles/blonde-ale,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/blonde-ale.jpg
33,Bohemian-Style Pilsener,https://www.craftbeer.com/styles/bohemian-style-pilsener,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/bohemian-style-pilsener.jpg
34,British-Style Barley Wine Ale,https://www.craftbeer.com/styles/british-style-barley-wine-ale,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/british-style-barley-wine-ale.jpg
35,California Common,https://www.craftbeer.com/styles/california-common,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/california-common.jpg
36,Chocolate Beer,https://www.craftbeer.com/styles/chocolate-beer,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/chocolate-beer.jpg
37,Coffee Beer,https://www.craftbeer.com/styles/coffee-beer,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/coffee-beer.jpg
38,Contemporary Gose,https://www.craftbeer.com/styles/contemporary-gose,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/contemporary-gose.jpg
39,English-Style Bitter,https://www.craftbeer.com/styles/english-style-bitter,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/english-style-bitter.jpg
40,English-Style Brown Ale,https://www.craftbeer.com/styles/english-style-brown-ale,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/english-style-brown-ale.jpg
41,English-Style Brown Porter,https://www.craftbeer.com/styles/english-style-brown-porter,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/english-style-brown-porter.jpg
42,English-Style Mild,https://www.craftbeer.com/styles/english-style-dark-mild,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/english-style-dark-mild.jpg
43,English-Style IPA,https://www.craftbeer.com/styles/english-style-india-pale-ale,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/english-style-india-pale-ale.jpg
44,English-Style Oatmeal Stout,https://www.craftbeer.com/styles/english-style-oatmeal-stout,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/english-style-oatmeal-stout.jpg
45,English-Style Old Ale,https://www.craftbeer.com/styles/english-style-old-ale,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/english-style-old-ale.jpg
46,English-Style Pale Ale (ESB),https://www.craftbeer.com/styles/english-style-pale-ale-esb,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/english-style-pale-ale-esb.jpg
47,English-Style Sweet Stout (Milk Stout),https://www.craftbeer.com/styles/english-style-sweet-stout-milk-stout,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/english-style-sweet-stout-milk-stout.jpg
48,European-Style Export,https://www.craftbeer.com/styles/european-style-export,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/european-style-export.jpg
49,Fruit and Field Beer,https://www.craftbeer.com/styles/fruit-field-or-flavored,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/fruit-field-or-flavored.jpg
50,German-Style Bock,https://www.craftbeer.com/styles/german-style-bock,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/german-style-bock.jpg
51,German-Style Altbier,https://www.craftbeer.com/styles/german-style-brownaltbier,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/german-style-brownaltbier.jpg
52,German-Style Doppelbock,https://www.craftbeer.com/styles/german-style-doppelbock,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/german-style-doppelbock.jpg
53,German-Style Dunkel,https://www.craftbeer.com/styles/german-style-dunkel,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/german-style-dunkel.jpg
54,German-Style Dunkelweizen,https://www.craftbeer.com/styles/german-style-dunkelweizen,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/german-style-dunkelweizen.jpg
55,German-Style Hefeweizen,https://www.craftbeer.com/styles/german-style-hefeweizen,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/german-style-hefeweizen.jpg
56,German-Style Maibock,https://www.craftbeer.com/styles/german-style-heller-bock-maibock,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/german-style-heller-bock-maibock.jpg
57,German-Style Helles,https://www.craftbeer.com/styles/german-style-helles,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/german-style-helles.jpg
58,German-Style Kolsch,https://www.craftbeer.com/styles/german-style-kolsch,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/german-style-kolsch.jpg
59,German-Style Marzen / Oktoberfest,https://www.craftbeer.com/styles/german-style-marzen-oktoberfest,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/german-style-marzen-oktoberfest.jpg
60,German-Style Pilsner,https://www.craftbeer.com/styles/german-style-pilsener,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/german-style-pilsener.jpg
