beer_style,info_link,image_link
American Amber Ale,https://www.craftbeer.com/styles/amber-ale,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/amber-ale.jpg
American Amber Lager,https://www.craftbeer.com/styles/american-amber-lager,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/american-amber-lager.jpg
American Barley Wine,https://www.craftbeer.com/styles/american-barley-wine,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/american-barley-wine.jpg
American Black Ale,https://www.craftbeer.com/styles/american-black-ale,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/american-black-ale.jpg
American Brett,https://www.craftbeer.com/styles/american-brett,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/american-brett.jpg
American Brown Ale,https://www.craftbeer.com/styles/american-brown-ale,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/american-brown-ale.jpg
American Cream Ale,https://www.craftbeer.com/styles/american-cream-ale,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/american-cream-ale.jpg
American Imperial Porter,https://www.craftbeer.com/styles/american-imperial-porter,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/american-imperial-porter.jpg
American Imperial Red Ale,https://www.craftbeer.com/styles/american-imperial-red-ale,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/american-imperial-red-ale.jpg
American Imperial Stout,https://www.craftbeer.com/styles/american-imperial-stout,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/american-imperial-stout.jpg
American IPA,https://www.craftbeer.com/styles/american-india-pale-ale,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/american-india-pale-ale.jpg
American Lager,https://www.craftbeer.com/styles/american-lager,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/american-lager.jpg
American Pale Ale,https://www.craftbeer.com/styles/american-pale-ale,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/american-pale-ale.jpg
American Sour,https://www.craftbeer.com/styles/american-sour,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/american-sour.jpg
American Stout,https://www.craftbeer.com/styles/american-stout,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/american-stout.jpg
American-Style Wheat Wine Ale,https://www.craftbeer.com/styles/american-style-wheat-wine-ale,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/american-style-wheat-wine-ale.jpg
American Wheat,https://www.craftbeer.com/styles/american-wheat,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/american-wheat.jpg
Baltic-Style Porter,https://www.craftbeer.com/styles/baltic-style-porter,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/baltic-style-porter.jpg
Barrel-Aged Beer,https://www.craftbeer.com/styles/barrel-aged-beer,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/barrel-aged-beer.jpg
Belgian-Style Blonde Ale,https://www.craftbeer.com/styles/belgian-style-blonde-ale,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/belgian-style-blonde-ale.jpg
Belgian-Style Dubbel,https://www.craftbeer.com/styles/belgian-style-dubbel,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/belgian-style-dubbel.jpg
Belgian-Style Flanders,https://www.craftbeer.com/styles/belgian-style-flanders,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/belgian-style-flanders.jpg
Belgian-Style Fruit Lambic,https://www.craftbeer.com/styles/belgian-style-fruit-lambic,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/belgian-style-fruit-lambic.jpg
Belgian-Style Golden Strong Ale,https://www.craftbeer.com/styles/belgian-style-golden-strong-ale,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/belgian-style-golden-strong-ale.jpg
Belgian-Style Lambic/Gueuze,https://www.craftbeer.com/styles/belgian-style-lambic-gueuze,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/belgian-style-lambic-gueuze.jpg
Belgian-Style Pale Ale,https://www.craftbeer.com/styles/belgian-style-pale-ale,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/belgian-style-pale-ale.jpg
Belgian-Style Quadrupel,https://www.craftbeer.com/styles/belgian-style-quadrupel,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/belgian-style-quadrupel.jpg
Belgian-Style Saison,https://www.craftbeer.com/styles/belgian-style-saison,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/belgian-style-saison.jpg
Belgian-Style Tripel,https://www.craftbeer.com/styles/belgian-style-tripel,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/belgian-style-tripel.jpg
Belgian-Style Witbier,https://www.craftbeer.com/styles/belgian-style-wit,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/belgian-style-wit.jpg
Berliner-Style Weisse,https://www.craftbeer.com/styles/berliner-style-weisse,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/berliner-style-weisse.jpg
French-Style Biere de Garde,https://www.craftbeer.com/styles/biere-de-garde,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/biere-de-garde.jpg
Blonde Ale,https://www.craftbeer.com/styles/blonde-ale,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/blonde-ale.jpg
Bohemian-Style Pilsener,https://www.craftbeer.com/styles/bohemian-style-pilsener,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/bohemian-style-pilsener.jpg
British-Style Barley Wine Ale,https://www.craftbeer.com/styles/british-style-barley-wine-ale,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/british-style-barley-wine-ale.jpg
California Common,https://www.craftbeer.com/styles/california-common,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/california-common.jpg
